Name	Version	Architecturet	Description
libunwind8:amd64	1.2.1-9ubuntu0.1	amd64	library to determine the call-chain of a program - runtime
liburi-perl	1.76-2	all	module to manipulate and access URI strings
libuuid1:amd64	2.34-0.1ubuntu9.4	amd64	Universally Unique ID library
libvariable-magic-perl	0.62-1build2	amd64	module to associate user-defined magic to variables from Perl
libwant-perl	0.29-1build4	amd64	generalisation of wantarray
libwind0-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - stringprep implementation
libwww-perl	6.43-1	all	simple and consistent interface to the world-wide web
libwww-robotrules-perl	6.02-1	all	database of robots.txt-derived permissions
libx11-6:amd64	2:1.6.9-2ubuntu1.6	amd64	X11 client-side library
libx11-data	2:1.6.9-2ubuntu1.6	all	X11 client-side library
libxau6:amd64	1:1.0.9-0ubuntu1	amd64	X11 authorisation library
libxcb1:amd64	1.14-2	amd64	X C Binding
libxdmcp6:amd64	1:1.1.3-0ubuntu1	amd64	X11 Display Manager Control Protocol library
libxext6:amd64	2:1.3.4-0ubuntu1	amd64	X11 miscellaneous extension library
libxml-libxml-perl	2.0134+dfsg-1build1	amd64	Perl interface to the libxml2 library
libxml-namespacesupport-perl	1.12-1	all	Perl module for supporting simple generic namespaces
libxml-parser-perl	2.46-1	amd64	Perl module for parsing XML files
libxml-sax-base-perl	1.09-1	all	base class for SAX drivers and filters
libxml-sax-expat-perl	0.51-1	all	Perl module for a SAX2 driver for Expat (XML::Parser)
libxml-sax-perl	1.02+dfsg-1	all	Perl module for using and building Perl SAX2 XML processors
libxml-writer-perl	0.625-1	all	Perl module for writing XML documents
libxml2:amd64	2.9.10+dfsg-5ubuntu0.20.04.6	amd64	GNOME XML library
libxmuu1:amd64	2:1.1.3-0ubuntu1	amd64	X11 miscellaneous micro-utility library
libyaml-0-2:amd64	0.2.2-1	amd64	Fast YAML 1.1 parser and emitter library
libyaml-libyaml-perl	0.81+repack-1	amd64	Perl interface to libyaml, a YAML implementation
libzstd1:amd64	1.4.4+dfsg-3ubuntu0.1	amd64	fast lossless compression algorithm
licensecheck	3.0.45-1	all	simple license checker for source files
lintian	2.62.0ubuntu2.3	all	Debian package checker
linux-libc-dev:amd64	5.4.0-167.184	amd64	Linux Kernel Headers for development
login	1:4.8.1-1ubuntu5.20.04.4	amd64	system login tools
logsave	1.45.5-2ubuntu1.1	amd64	save the output of a command in a log file
lsb-base	11.1.0ubuntu2	all	Linux Standard Base init script functionality
lsb-release	11.1.0ubuntu2	all	Linux Standard Base version reporting utility
m4	1.4.18-4	amd64	macro processing language
make	4.2.1-1.2	amd64	utility for directing compilation
man-db	2.9.1-1	amd64	tools for reading manual pages
manpages	5.05-1	all	Manual pages about using a GNU/Linux system
manpages-dev	5.05-1	all	Manual pages about using GNU/Linux for development
mawk	1.3.4.20200120-2	amd64	Pattern scanning and text processing language
mime-support	3.64ubuntu1	all	MIME files 'mime.types' & 'mailcap', and support programs
mount	2.34-0.1ubuntu9.4	amd64	tools for mounting and manipulating filesystems
ncurses-base	6.2-0ubuntu2.1	all	basic terminal type definitions
ncurses-bin	6.2-0ubuntu2.1	amd64	terminal-related programs and man pages
netbase	6.1	all	Basic TCP/IP networking system
openssh-client	1:8.2p1-4ubuntu0.9	amd64	secure shell (SSH) client, for secure access to remote machines
openssl	1.1.1f-1ubuntu2.20	amd64	Secure Sockets Layer toolkit - cryptographic utility
passwd	1:4.8.1-1ubuntu5.20.04.4	amd64	change and administer password and group data
patch	2.7.6-6	amd64	Apply a diff file to an original
patchutils	0.3.4-2	amd64	Utilities to work with patches
perl	5.30.0-9ubuntu0.5	amd64	Larry Wall's Practical Extraction and Report Language
perl-base	5.30.0-9ubuntu0.5	amd64	minimal Perl system
perl-modules-5.30	5.30.0-9ubuntu0.5	all	Core Perl modules
perl-openssl-defaults:amd64	4	amd64	version compatibility baseline for Perl OpenSSL packages
pinentry-curses	1.1.0-3build1	amd64	curses-based PIN or pass-phrase entry dialog for GnuPG
po-debconf	1.0.21	all	tool for managing templates file translations with gettext
procps	2:3.3.16-1ubuntu2.4	amd64	/proc file system utilities
publicsuffix	20200303.0012-1	all	accurate, machine-readable list of domain name suffixes
python-apt-common	2.0.1ubuntu0.20.04.1	all	Python interface to libapt-pkg (locales)
python3	3.8.2-0ubuntu2	amd64	interactive high-level object-oriented language (default python3 version)
python3-apt	2.0.1ubuntu0.20.04.1	amd64	Python 3 interface to libapt-pkg
python3-certifi	2019.11.28-1	all	root certificates for validating SSL certs and verifying TLS hosts (python3)
python3-chardet	3.0.4-4build1	all	universal character encoding detector for Python3
python3-debian	0.1.36ubuntu1.1	all	Python 3 modules to work with Debian-related data formats
python3-gpg	1.13.1-7ubuntu2.1	amd64	Python interface to the GPGME GnuPG encryption library (Python 3)
python3-idna	2.8-1	all	Python IDNA2008 (RFC 5891) handling (Python 3)
python3-magic	2:0.4.15-3	all	python3 interface to the libmagic file type identification library
python3-minimal	3.8.2-0ubuntu2	amd64	minimal subset of the Python language (default python3 version)
python3-pkg-resources	45.2.0-1ubuntu0.1	all	Package Discovery and Resource Access using pkg_resources
python3-requests	2.22.0-2ubuntu1.1	all	elegant and simple HTTP library for Python3, built for human beings
python3-six	1.14.0-2	all	Python 2 and 3 compatibility library (Python 3 interface)
python3-unidiff	0.5.5-2	all	Unified diff Python parsing/metadata extraction library (Python 3)
python3-urllib3	1.25.8-2ubuntu0.3	all	HTTP library with thread-safe connection pooling for Python3
python3-xdg	0.26-1ubuntu1	all	Python 3 library to access freedesktop.org standards
python3.8	3.8.10-0ubuntu1~20.04.9	amd64	Interactive high-level object-oriented language (version 3.8)
python3.8-minimal	3.8.10-0ubuntu1~20.04.9	amd64	Minimal subset of the Python language (version 3.8)
readline-common	8.0-4	all	GNU readline and history libraries, common files
sed	4.7-1	amd64	GNU stream editor for filtering/transforming text
sensible-utils	0.0.12+nmu1	all	Utilities for sensible alternative selection
shared-mime-info	1.15-1	amd64	FreeDesktop.org shared MIME database and spec
strace	5.5-3ubuntu1	amd64	System call tracer
sysvinit-utils	2.96-2.1ubuntu1	amd64	System-V-like utilities
t1utils	1.41-3	amd64	Collection of simple Type 1 font manipulation programs
tar	1.30+dfsg-7ubuntu0.20.04.3	amd64	GNU version of the tar archiving utility
tcsh	6.21.00-1	amd64	TENEX C Shell, an enhanced version of Berkeley csh
tzdata	2023c-0ubuntu0.20.04.2	all	time zone and daylight-saving time data
ubuntu-keyring	2020.02.11.4	all	GnuPG keys of the Ubuntu archive
ucf	3.0038+nmu1	all	Update Configuration File(s): preserve user changes to config files
unzip	6.0-25ubuntu1.1	amd64	De-archiver for .zip files
util-linux	2.34-0.1ubuntu9.4	amd64	miscellaneous system utilities
wdiff	1.2.2-2build1	amd64	Compares two files word by word
wget	1.20.3-1ubuntu2	amd64	retrieves files from the web
xauth	1:1.1-0ubuntu1	amd64	X authentication utility
xdg-user-dirs	0.17-2ubuntu1	amd64	tool to manage well known user directories
xz-utils	5.2.4-1ubuntu1.1	amd64	XZ-format compression utilities
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu1.5	amd64	compression library - runtime
